iter	MultiClass
0	1.095860615
1	1.093108595
2	1.090410988
3	1.088046662
4	1.085462259
5	1.083080089
6	1.080689097
7	1.078287704
8	1.076046696
9	1.073847988
10	1.071644153
11	1.069610154
12	1.067674449
13	1.065562254
14	1.063446621
15	1.061453226
16	1.059502157
17	1.057519265
18	1.055711915
19	1.053816068
20	1.05216528
21	1.050343191
22	1.048712804
23	1.047037504
24	1.045359621
25	1.043723903
26	1.042034018
27	1.040494813
28	1.038939604
29	1.037336236
30	1.035887317
31	1.034514832
32	1.032976611
33	1.031498132
34	1.030047431
35	1.028662577
36	1.027200775
37	1.025877283
38	1.024555025
39	1.023245012
40	1.021937957
41	1.020697203
42	1.019567705
43	1.018480991
44	1.017310068
45	1.016098364
46	1.014978371
47	1.013920974
48	1.012884051
49	1.011735252
50	1.010687501
51	1.00961717
52	1.008554574
53	1.007558475
54	1.006587829
55	1.005584188
56	1.004580675
57	1.003618598
58	1.002635481
59	1.001627379
