iter	Passed	Remaining
0	6	354
1	11	335
2	15	298
3	19	277
4	23	259
5	27	246
6	31	236
7	35	229
8	39	221
9	42	213
10	46	207
11	50	201
12	54	196
13	58	191
14	62	187
15	66	184
16	70	178
17	74	173
18	78	168
19	84	168
20	90	168
21	98	169
22	107	172
23	115	173
24	125	175
25	134	175
26	141	173
27	146	167
28	154	165
29	159	159
30	164	153
31	168	147
32	172	140
33	176	134
34	181	129
35	185	123
36	189	117
37	192	111
38	198	106
39	206	103
40	211	98
41	215	92
42	219	86
43	224	81
44	227	75
45	231	70
46	236	65
47	240	60
48	243	54
49	247	49
50	251	44
51	255	39
52	259	34
53	263	29
54	266	24
55	270	19
56	274	14
57	278	9
58	282	4
59	286	0
