,Date,season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,B365H,B365D,B365A,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,MW,HomeTeamLP,AwayTeamLP,gameId,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,HTGD,ATGD,DiffPts,DiffFormPts
4560,2019-08-09,1920,Liverpool,Norwich,4.0,1.0,H,0.0,0.0,0.0,0.0,0,0,1.14,10.0,19.0,M,M,M,M,M,M,M,M,M,M,1,4,18,4561,MMMMM,MMMMM,0,0,0.0,0.0,0,0
4561,2019-08-10,1920,West Ham,Man City,0.0,5.0,A,0.0,0.0,0.0,0.0,0,0,12.0,6.5,1.22,M,M,M,M,M,M,M,M,M,M,1,18,1,4562,MMMMM,MMMMM,0,0,0.0,0.0,0,0
4562,2019-08-10,1920,Bournemouth,Sheffield United,1.0,1.0,D,0.0,0.0,0.0,0.0,0,0,1.95,3.6,3.6,M,M,M,M,M,M,M,M,M,M,1,12,18,4563,MMMMM,MMMMM,0,0,0.0,0.0,0,0
4563,2019-08-10,1920,Burnley,Southampton,3.0,0.0,H,0.0,0.0,0.0,0.0,0,0,2.62,3.2,2.75,M,M,M,M,M,M,M,M,M,M,1,7,17,4564,MMMMM,MMMMM,0,0,0.0,0.0,0,0
4564,2019-08-10,1920,Crystal Palace,Everton,0.0,0.0,D,0.0,0.0,0.0,0.0,0,0,3.0,3.25,2.37,M,M,M,M,M,M,M,M,M,M,1,18,8,4565,MMMMM,MMMMM,0,0,0.0,0.0,0,0
4565,2019-08-10,1920,Watford,Brighton,0.0,3.0,A,0.0,0.0,0.0,0.0,0,0,1.9,3.4,4.0,M,M,M,M,M,M,M,M,M,M,1,14,15,4566,MMMMM,MMMMM,0,0,0.0,0.0,0,0
4566,2019-08-10,1920,Tottenham,Aston Villa,3.0,1.0,H,0.0,0.0,0.0,0.0,0,0,1.3,5.25,10.0,M,M,M,M,M,M,M,M,M,M,1,3,18,4567,MMMMM,MMMMM,0,0,0.0,0.0,0,0
4567,2019-08-11,1920,Leicester,Wolves,0.0,0.0,D,0.0,0.0,0.0,0.0,0,0,2.2,3.2,3.4,M,M,M,M,M,M,M,M,M,M,1,9,18,4568,MMMMM,MMMMM,0,0,0.0,0.0,0,0
4568,2019-08-11,1920,Newcastle,Arsenal,0.0,1.0,A,0.0,0.0,0.0,0.0,0,0,4.5,3.75,1.72,M,M,M,M,M,M,M,M,M,M,1,10,6,4569,MMMMM,MMMMM,0,0,0.0,0.0,0,0
4569,2019-08-11,1920,Man United,Chelsea,4.0,0.0,H,0.0,0.0,0.0,0.0,0,0,2.1,3.3,3.5,M,M,M,M,M,M,M,M,M,M,1,2,5,4570,MMMMM,MMMMM,0,0,0.0,0.0,0,0
4570,2019-08-17,1920,Arsenal,Burnley,2.0,1.0,H,2.0,1.0,1.0,2.0,3,3,1.3,5.5,10.0,W,M,M,M,M,W,M,M,M,M,2,6,7,4571,WMMMM,WMMMM,3,3,1.0,-1.0,0,0
4571,2019-08-17,1920,Aston Villa,Bournemouth,1.0,2.0,A,1.0,2.0,2.0,1.0,0,1,2.3,3.4,3.1,L,M,M,M,M,D,M,M,M,M,2,18,12,4572,LMMMM,DMMMM,0,1,-1.0,1.0,-1,-1
